source,rank_metric,rank,sample_id,status,blocks,max_odd_ratio,max_peak_ratio,final_log_ratio
real,max_odd_ratio,20,753663,drop,31,4049.321536,32394.57229,-0.584735846335
model,max_odd_ratio,1,325770,drop,41,303647.413988,2429179.311905,-1.943931207896
model,max_odd_ratio,2,252240,drop,48,224670.323778,1516524.6855,-0.53053478002
model,max_odd_ratio,3,375265,drop,52,102596.718685,540946.013229,-0.007286636255
model,max_odd_ratio,4,449092,drop,46,67477.203108,539817.624868,-0.100055737529
model,max_odd_ratio,5,85276,drop,45,49926.738617,199706.954469,-2.571411353939
model,max_odd_ratio,6,31532,drop,45,42700.417592,170801.670368,-0.217838773186
model,max_odd_ratio,7,368139,drop,30,35543.547316,142174.189266,-0.636854914672
model,max_odd_ratio,8,371773,drop,42,34593.18035,276745.442801,-0.335621808842
model,max_odd_ratio,9,133714,drop,27,33284.492412,149780.215852,-0.088592836525
model,max_odd_ratio,10,23333,drop,27,28083.790472,199706.954469,-0.376274908977
model,max_odd_ratio,11,467872,drop,37,26298.858202,243192.222067,-0.179273805425
model,max_odd_ratio,12,79668,drop,54,17569.220716,80140.150108,-0.56909974778
model,max_odd_ratio,13,405328,drop,28,17063.784446,72887.688639,-0.376274908977
model,max_odd_ratio,14,121451,drop,16,16197.264142,129578.113136,-1.554105265541
model,max_odd_ratio,15,355874,drop,25,13666.44162,54665.766479,-0.036476835386
model,max_odd_ratio,16,446847,drop,18,13666.44162,54665.766479,-0.050027868765
model,max_odd_ratio,17,189015,drop,37,10675.104398,71087.094633,-0.806753951468
model,max_odd_ratio,18,297412,drop,43,9007.119336,50607.902331,-0.401288843359
model,max_odd_ratio,19,362399,drop,41,7703.442436,246510.157943,-2.505744319421
model,max_odd_ratio,20,50725,drop,14,7583.904198,34127.568892,-1.449873263263
