residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
4397,0001000100101101,1011010010001000,5
4405,0001000100110101,1010110010001000,5
4413,0001000100111101,1011110010001000,5
4421,0001000101000101,1010001010001000,5
4429,0001000101001101,1011001010001000,5
4437,0001000101010101,1010101010001000,5
4445,0001000101011101,1011101010001000,5
4453,0001000101100101,1010011010001000,5
4461,0001000101101101,1011011010001000,5
4469,0001000101110101,1010111010001000,5
4477,0001000101111101,1011111010001000,5
4485,0001000110000101,1010000110001000,5
4493,0001000110001101,1011000110001000,5
4501,0001000110010101,1010100110001000,5
4509,0001000110011101,1011100110001000,5
4517,0001000110100101,1010010110001000,5
4525,0001000110101101,1011010110001000,5
4533,0001000110110101,1010110110001000,5
4541,0001000110111101,1011110110001000,5
4549,0001000111000101,1010001110001000,5
4557,0001000111001101,1011001110001000,5
4565,0001000111010101,1010101110001000,5
4573,0001000111011101,1011101110001000,5
4581,0001000111100101,1010011110001000,5
4589,0001000111101101,1011011110001000,5
4597,0001000111110101,1010111110001000,5
4605,0001000111111101,1011111110001000,5
4613,0001001000000101,1010000001001000,5
4621,0001001000001101,1011000001001000,5
4629,0001001000010101,1010100001001000,5
4637,0001001000011101,1011100001001000,5
4653,0001001000101101,1011010001001000,5
4661,0001001000110101,1010110001001000,5
4669,0001001000111101,1011110001001000,5
4677,0001001001000101,1010001001001000,5
4685,0001001001001101,1011001001001000,5
4693,0001001001010101,1010101001001000,5
4701,0001001001011101,1011101001001000,5
4709,0001001001100101,1010011001001000,5
4717,0001001001101101,1011011001001000,5
4725,0001001001110101,1010111001001000,5
4733,0001001001111101,1011111001001000,5
4741,0001001010000101,1010000101001000,5
4749,0001001010001101,1011000101001000,5
4757,0001001010010101,1010100101001000,5
4765,0001001010011101,1011100101001000,5
4773,0001001010100101,1010010101001000,5
4781,0001001010101101,1011010101001000,5
4789,0001001010110101,1010110101001000,5
4797,0001001010111101,1011110101001000,5
4805,0001001011000101,1010001101001000,5
4813,0001001011001101,1011001101001000,5
4821,0001001011010101,1010101101001000,5
4829,0001001011011101,1011101101001000,5
4837,0001001011100101,1010011101001000,5
4853,0001001011110101,1010111101001000,5
4861,0001001011111101,1011111101001000,5
4869,0001001100000101,1010000011001000,5
4877,0001001100001101,1011000011001000,5
4885,0001001100010101,1010100011001000,5
4893,0001001100011101,1011100011001000,5
4901,0001001100100101,1010010011001000,5
4909,0001001100101101,1011010011001000,5
4917,0001001100110101,1010110011001000,5
4925,0001001100111101,1011110011001000,5
4933,0001001101000101,1010001011001000,5
4941,0001001101001101,1011001011001000,5
4949,0001001101010101,1010101011001000,5
4957,0001001101011101,1011101011001000,5
4965,0001001101100101,1010011011001000,5
4973,0001001101101101,1011011011001000,5
4981,0001001101110101,1010111011001000,5
4989,0001001101111101,1011111011001000,5
4997,0001001110000101,1010000111001000,5
5005,0001001110001101,1011000111001000,5
5013,0001001110010101,1010100111001000,5
5021,0001001110011101,1011100111001000,5
5029,0001001110100101,1010010111001000,5
5037,0001001110101101,1011010111001000,5
5045,0001001110110101,1010110111001000,5
5061,0001001111000101,1010001111001000,5
5069,0001001111001101,1011001111001000,5
5077,0001001111010101,1010101111001000,5
5085,0001001111011101,1011101111001000,5
5093,0001001111100101,1010011111001000,5
5101,0001001111101101,1011011111001000,5
5109,0001001111110101,1010111111001000,5
5125,0001010000000101,1010000000101000,5
5133,0001010000001101,1011000000101000,5
5141,0001010000010101,1010100000101000,5
5149,0001010000011101,1011100000101000,5
5157,0001010000100101,1010010000101000,5
