k,total_residuals,j,modulus,residue_mod,residue_mod_binary_msb_first,residue_mod_binary_lsb_first,count,fraction_of_residuals,s2_branch_capacity,density_within_s2_bucket
16,378,10,1024,493,0111101101,1011011110,1,0.002645502646,64,0.015625000000
16,378,10,1024,501,0111110101,1010111110,1,0.002645502646,64,0.015625000000
16,378,10,1024,509,0111111101,1011111110,22,0.058201058201,64,0.343750000000
16,378,10,1024,517,1000000101,1010000001,1,0.002645502646,64,0.015625000000
16,378,10,1024,549,1000100101,1010010001,7,0.018518518519,64,0.109375000000
16,378,10,1024,557,1000101101,1011010001,1,0.002645502646,64,0.015625000000
16,378,10,1024,573,1000111101,1011110001,1,0.002645502646,64,0.015625000000
16,378,10,1024,621,1001101101,1011011001,7,0.018518518519,64,0.109375000000
16,378,10,1024,629,1001110101,1010111001,1,0.002645502646,64,0.015625000000
16,378,10,1024,637,1001111101,1011111001,22,0.058201058201,64,0.343750000000
16,378,10,1024,645,1010000101,1010000101,1,0.002645502646,64,0.015625000000
16,378,10,1024,661,1010010101,1010100101,1,0.002645502646,64,0.015625000000
16,378,10,1024,669,1010011101,1011100101,7,0.018518518519,64,0.109375000000
16,378,10,1024,677,1010100101,1010010101,22,0.058201058201,64,0.343750000000
16,378,10,1024,685,1010101101,1011010101,1,0.002645502646,64,0.015625000000
16,378,10,1024,701,1010111101,1011110101,1,0.002645502646,64,0.015625000000
16,378,10,1024,733,1011011101,1011101101,1,0.002645502646,64,0.015625000000
16,378,10,1024,749,1011101101,1011011101,1,0.002645502646,64,0.015625000000
16,378,10,1024,757,1011110101,1010111101,1,0.002645502646,64,0.015625000000
16,378,10,1024,765,1011111101,1011111101,22,0.058201058201,64,0.343750000000
16,378,10,1024,781,1100001101,1011000011,1,0.002645502646,64,0.015625000000
16,378,10,1024,797,1100011101,1011100011,1,0.002645502646,64,0.015625000000
16,378,10,1024,829,1100111101,1011110011,7,0.018518518519,64,0.109375000000
16,378,10,1024,845,1101001101,1011001011,1,0.002645502646,64,0.015625000000
16,378,10,1024,861,1101011101,1011101011,1,0.002645502646,64,0.015625000000
16,378,10,1024,877,1101101101,1011011011,1,0.002645502646,64,0.015625000000
16,378,10,1024,893,1101111101,1011111011,7,0.018518518519,64,0.109375000000
16,378,10,1024,901,1110000101,1010000111,7,0.018518518519,64,0.109375000000
16,378,10,1024,925,1110011101,1011100111,7,0.018518518519,64,0.109375000000
16,378,10,1024,933,1110100101,1010010111,7,0.018518518519,64,0.109375000000
16,378,10,1024,941,1110101101,1011010111,7,0.018518518519,64,0.109375000000
16,378,10,1024,957,1110111101,1011110111,22,0.058201058201,64,0.343750000000
16,378,10,1024,973,1111001101,1011001111,1,0.002645502646,64,0.015625000000
16,378,10,1024,989,1111011101,1011101111,1,0.002645502646,64,0.015625000000
16,378,10,1024,997,1111100101,1010011111,1,0.002645502646,64,0.015625000000
16,378,10,1024,1005,1111101101,1011011111,7,0.018518518519,64,0.109375000000
16,378,10,1024,1013,1111110101,1010111111,7,0.018518518519,64,0.109375000000
16,378,10,1024,1021,1111111101,1011111111,42,0.111111111111,64,0.656250000000
16,378,11,2048,109,00001101101,10110110000,6,0.015873015873,32,0.187500000000
16,378,11,2048,125,00001111101,10111110000,6,0.015873015873,32,0.187500000000
16,378,11,2048,165,00010100101,10100101000,6,0.015873015873,32,0.187500000000
16,378,11,2048,189,00010111101,10111101000,6,0.015873015873,32,0.187500000000
16,378,11,2048,221,00011011101,10111011000,6,0.015873015873,32,0.187500000000
16,378,11,2048,253,00011111101,10111111000,1,0.002645502646,32,0.031250000000
16,378,11,2048,285,00100011101,10111000100,1,0.002645502646,32,0.031250000000
16,378,11,2048,293,00100100101,10100100100,1,0.002645502646,32,0.031250000000
16,378,11,2048,333,00101001101,10110010100,1,0.002645502646,32,0.031250000000
16,378,11,2048,365,00101101101,10110110100,6,0.015873015873,32,0.187500000000
16,378,11,2048,381,00101111101,10111110100,1,0.002645502646,32,0.031250000000
16,378,11,2048,413,00110011101,10111001100,6,0.015873015873,32,0.187500000000
16,378,11,2048,421,00110100101,10100101100,1,0.002645502646,32,0.031250000000
16,378,11,2048,429,00110101101,10110101100,1,0.002645502646,32,0.031250000000
16,378,11,2048,437,00110110101,10101101100,1,0.002645502646,32,0.031250000000
16,378,11,2048,445,00110111101,10111101100,6,0.015873015873,32,0.187500000000
16,378,11,2048,485,00111100101,10100111100,1,0.002645502646,32,0.031250000000
16,378,11,2048,501,00111110101,10101111100,1,0.002645502646,32,0.031250000000
16,378,11,2048,509,00111111101,10111111100,16,0.042328042328,32,0.500000000000
16,378,11,2048,517,01000000101,10100000010,1,0.002645502646,32,0.031250000000
16,378,11,2048,549,01000100101,10100100010,6,0.015873015873,32,0.187500000000
16,378,11,2048,573,01000111101,10111100010,1,0.002645502646,32,0.031250000000
16,378,11,2048,621,01001101101,10110110010,6,0.015873015873,32,0.187500000000
16,378,11,2048,637,01001111101,10111110010,16,0.042328042328,32,0.500000000000
16,378,11,2048,645,01010000101,10100001010,1,0.002645502646,32,0.031250000000
16,378,11,2048,661,01010010101,10101001010,1,0.002645502646,32,0.031250000000
16,378,11,2048,669,01010011101,10111001010,6,0.015873015873,32,0.187500000000
16,378,11,2048,677,01010100101,10100101010,16,0.042328042328,32,0.500000000000
16,378,11,2048,701,01010111101,10111101010,1,0.002645502646,32,0.031250000000
16,378,11,2048,733,01011011101,10111011010,1,0.002645502646,32,0.031250000000
16,378,11,2048,749,01011101101,10110111010,1,0.002645502646,32,0.031250000000
16,378,11,2048,765,01011111101,10111111010,6,0.015873015873,32,0.187500000000
16,378,11,2048,829,01100111101,10111100110,6,0.015873015873,32,0.187500000000
16,378,11,2048,877,01101101101,10110110110,1,0.002645502646,32,0.031250000000
16,378,11,2048,893,01101111101,10111110110,1,0.002645502646,32,0.031250000000
16,378,11,2048,901,01110000101,10100001110,6,0.015873015873,32,0.187500000000
16,378,11,2048,925,01110011101,10111001110,6,0.015873015873,32,0.187500000000
16,378,11,2048,933,01110100101,10100101110,1,0.002645502646,32,0.031250000000
16,378,11,2048,941,01110101101,10110101110,1,0.002645502646,32,0.031250000000
16,378,11,2048,957,01110111101,10111101110,16,0.042328042328,32,0.500000000000
16,378,11,2048,973,01111001101,10110011110,1,0.002645502646,32,0.031250000000
16,378,11,2048,1005,01111101101,10110111110,6,0.015873015873,32,0.187500000000
16,378,11,2048,1013,01111110101,10101111110,1,0.002645502646,32,0.031250000000
16,378,11,2048,1021,01111111101,10111111110,16,0.042328042328,32,0.500000000000
16,378,11,2048,1053,10000011101,10111000001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1061,10000100101,10100100001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1101,10001001101,10110010001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1125,10001100101,10100110001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1133,10001101101,10110110001,16,0.042328042328,32,0.500000000000
16,378,11,2048,1149,10001111101,10111110001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1181,10010011101,10111001001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1189,10010100101,10100101001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1213,10010111101,10111101001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1245,10011011101,10111011001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1253,10011100101,10100111001,1,0.002645502646,32,0.031250000000
16,378,11,2048,1277,10011111101,10111111001,6,0.015873015873,32,0.187500000000
16,378,11,2048,1309,10100011101,10111000101,6,0.015873015873,32,0.187500000000
16,378,11,2048,1341,10100111101,10111100101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1349,10101000101,10100010101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1357,10101001101,10110010101,6,0.015873015873,32,0.187500000000
16,378,11,2048,1389,10101101101,10110110101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1413,10110000101,10100001101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1437,10110011101,10111001101,16,0.042328042328,32,0.500000000000
16,378,11,2048,1469,10110111101,10111101101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1509,10111100101,10100111101,6,0.015873015873,32,0.187500000000
16,378,11,2048,1517,10111101101,10110111101,1,0.002645502646,32,0.031250000000
16,378,11,2048,1533,10111111101,10111111101,6,0.015873015873,32,0.187500000000
16,378,11,2048,1573,11000100101,10100100011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1581,11000101101,10110100011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1645,11001101101,10110110011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1653,11001110101,10101110011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1661,11001111101,10111110011,6,0.015873015873,32,0.187500000000
16,378,11,2048,1693,11010011101,10111001011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1701,11010100101,10100101011,6,0.015873015873,32,0.187500000000
16,378,11,2048,1709,11010101101,10110101011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1781,11011110101,10101111011,1,0.002645502646,32,0.031250000000
16,378,11,2048,1789,11011111101,10111111011,16,0.042328042328,32,0.500000000000
16,378,11,2048,1805,11100001101,10110000111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1821,11100011101,10111000111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1853,11100111101,10111100111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1869,11101001101,10110010111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1885,11101011101,10111010111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1917,11101111101,10111110111,6,0.015873015873,32,0.187500000000
16,378,11,2048,1925,11110000101,10100001111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1949,11110011101,10111001111,1,0.002645502646,32,0.031250000000
16,378,11,2048,1957,11110100101,10100101111,6,0.015873015873,32,0.187500000000
16,378,11,2048,1965,11110101101,10110101111,6,0.015873015873,32,0.187500000000
16,378,11,2048,1981,11110111101,10111101111,6,0.015873015873,32,0.187500000000
16,378,11,2048,2013,11111011101,10111011111,1,0.002645502646,32,0.031250000000
16,378,11,2048,2021,11111100101,10100111111,1,0.002645502646,32,0.031250000000
16,378,11,2048,2029,11111101101,10110111111,1,0.002645502646,32,0.031250000000
16,378,11,2048,2037,11111110101,10101111111,6,0.015873015873,32,0.187500000000
16,378,11,2048,2045,11111111101,10111111111,26,0.068783068783,32,0.812500000000
16,378,12,4096,109,000001101101,101101100000,5,0.013227513228,16,0.312500000000
16,378,12,4096,125,000001111101,101111100000,5,0.013227513228,16,0.312500000000
16,378,12,4096,165,000010100101,101001010000,1,0.002645502646,16,0.062500000000
16,378,12,4096,189,000010111101,101111010000,1,0.002645502646,16,0.062500000000
16,378,12,4096,221,000011011101,101110110000,1,0.002645502646,16,0.062500000000
16,378,12,4096,253,000011111101,101111110000,1,0.002645502646,16,0.062500000000
16,378,12,4096,285,000100011101,101110001000,1,0.002645502646,16,0.062500000000
16,378,12,4096,293,000100100101,101001001000,1,0.002645502646,16,0.062500000000
16,378,12,4096,333,000101001101,101100101000,1,0.002645502646,16,0.062500000000
16,378,12,4096,365,000101101101,101101101000,5,0.013227513228,16,0.312500000000
16,378,12,4096,381,000101111101,101111101000,1,0.002645502646,16,0.062500000000
16,378,12,4096,413,000110011101,101110011000,5,0.013227513228,16,0.312500000000
16,378,12,4096,429,000110101101,101101011000,1,0.002645502646,16,0.062500000000
16,378,12,4096,437,000110110101,101011011000,1,0.002645502646,16,0.062500000000
16,378,12,4096,445,000110111101,101111011000,5,0.013227513228,16,0.312500000000
16,378,12,4096,485,000111100101,101001111000,1,0.002645502646,16,0.062500000000
16,378,12,4096,509,000111111101,101111111000,5,0.013227513228,16,0.312500000000
16,378,12,4096,549,001000100101,101001000100,5,0.013227513228,16,0.312500000000
16,378,12,4096,621,001001101101,101101100100,1,0.002645502646,16,0.062500000000
16,378,12,4096,637,001001111101,101111100100,11,0.029100529101,16,0.687500000000
16,378,12,4096,645,001010000101,101000010100,1,0.002645502646,16,0.062500000000
16,378,12,4096,669,001010011101,101110010100,5,0.013227513228,16,0.312500000000
16,378,12,4096,677,001010100101,101001010100,5,0.013227513228,16,0.312500000000
16,378,12,4096,701,001010111101,101111010100,1,0.002645502646,16,0.062500000000
16,378,12,4096,733,001011011101,101110110100,1,0.002645502646,16,0.062500000000
16,378,12,4096,749,001011101101,101101110100,1,0.002645502646,16,0.062500000000
16,378,12,4096,765,001011111101,101111110100,1,0.002645502646,16,0.062500000000
16,378,12,4096,829,001100111101,101111001100,1,0.002645502646,16,0.062500000000
16,378,12,4096,893,001101111101,101111101100,1,0.002645502646,16,0.062500000000
16,378,12,4096,901,001110000101,101000011100,5,0.013227513228,16,0.312500000000
16,378,12,4096,925,001110011101,101110011100,1,0.002645502646,16,0.062500000000
16,378,12,4096,941,001110101101,101101011100,1,0.002645502646,16,0.062500000000
16,378,12,4096,957,001110111101,101111011100,11,0.029100529101,16,0.687500000000
16,378,12,4096,1005,001111101101,101101111100,5,0.013227513228,16,0.312500000000
16,378,12,4096,1021,001111111101,101111111100,5,0.013227513228,16,0.312500000000
16,378,12,4096,1053,010000011101,101110000010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1101,010001001101,101100100010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1133,010001101101,101101100010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1189,010010100101,101001010010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1213,010010111101,101111010010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1245,010011011101,101110110010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1253,010011100101,101001110010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1277,010011111101,101111110010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1309,010100011101,101110001010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1341,010100111101,101111001010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1349,010101000101,101000101010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1357,010101001101,101100101010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1437,010110011101,101110011010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1509,010111100101,101001111010,5,0.013227513228,16,0.312500000000
16,378,12,4096,1533,010111111101,101111111010,1,0.002645502646,16,0.062500000000
16,378,12,4096,1645,011001101101,101101100110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1653,011001110101,101011100110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1661,011001111101,101111100110,5,0.013227513228,16,0.312500000000
16,378,12,4096,1701,011010100101,101001010110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1709,011010101101,101101010110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1789,011011111101,101111110110,11,0.029100529101,16,0.687500000000
16,378,12,4096,1805,011100001101,101100001110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1853,011100111101,101111001110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1917,011101111101,101111101110,5,0.013227513228,16,0.312500000000
16,378,12,4096,1949,011110011101,101110011110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1957,011110100101,101001011110,1,0.002645502646,16,0.062500000000
16,378,12,4096,1965,011110101101,101101011110,5,0.013227513228,16,0.312500000000
16,378,12,4096,1981,011110111101,101111011110,5,0.013227513228,16,0.312500000000
16,378,12,4096,2013,011111011101,101110111110,1,0.002645502646,16,0.062500000000
16,378,12,4096,2037,011111110101,101011111110,1,0.002645502646,16,0.062500000000
16,378,12,4096,2045,011111111101,101111111110,11,0.029100529101,16,0.687500000000
16,378,12,4096,2157,100001101101,101101100001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2173,100001111101,101111100001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2213,100010100101,101001010001,5,0.013227513228,16,0.312500000000
16,378,12,4096,2237,100010111101,101111010001,5,0.013227513228,16,0.312500000000
16,378,12,4096,2269,100011011101,101110110001,5,0.013227513228,16,0.312500000000
16,378,12,4096,2413,100101101101,101101101001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2461,100110011101,101110011001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2469,100110100101,101001011001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2493,100110111101,101111011001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2549,100111110101,101011111001,1,0.002645502646,16,0.062500000000
16,378,12,4096,2557,100111111101,101111111001,11,0.029100529101,16,0.687500000000
16,378,12,4096,2565,101000000101,101000000101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2597,101000100101,101001000101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2621,101000111101,101111000101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2669,101001101101,101101100101,5,0.013227513228,16,0.312500000000
