k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
8,256,87,q_mod_2^8,87,10,24,0.0029188558,0.0069524913,-0.0040336355,1,10,0.1,0.41666667,-0.31666667,0.1383015358,-0.58773768,-0.04559566,-2.289683,0.0002918856,0.0028968714,-0.0026049858,0.2,0.45833333,-0.25833333,0.1623093611,-0.57645968,0.05979301,-1.591611,3.0,2.45833333,0.54166667,1.8,1.29166667,-0.031269370375,0.101453282543,2.085698031854,1.157983246293
8,256,89,q_mod_2^8,89,65,25,0.0189725628,0.0072421784,0.0117303843,40,10,0.61538462,0.4,0.21538462,0.1150709741,-0.01015449,0.44092372,1.871755,0.0116754232,0.0028968714,0.0087785519,0.24615385,0.44,-0.19384615,0.1127421926,-0.41482085,0.02712854,-1.719375,2.86153846,2.2,0.66153846,1.41538462,1.6,0.179184675944,-0.217012251058,1.199404447075,1.345895329199
8,256,91,q_mod_2^8,91,21,25,0.0061295972,0.0072421784,-0.0011125812,1,14,0.04761905,0.56,-0.51238095,0.1096156649,-0.72722766,-0.29753425,-4.674341,0.0002918856,0.0040556199,-0.0037637343,0.9047619,0.32,0.5847619,0.1131690267,0.36295061,0.8065732,5.167155,3.28571429,2.08,1.20571429,1.71428571,1.36,0.143990349967,-0.099312740697,0.864686534228,1.496032048209
8,256,93,q_mod_2^8,93,24,40,0.0070052539,0.0115874855,-0.0045822316,17,17,0.70833333,0.425,0.28333333,0.1213160855,0.04555381,0.52111286,2.335497,0.0049620549,0.0049246813,3.73735e-05,0.25,0.45,-0.2,0.1183215957,-0.43191033,0.03191033,-1.690309,1.58333333,2.375,-0.79166667,1.08333333,1.45,-0.108922834292,-0.042083780055,0.844851789023,1.303066460578
8,256,95,q_mod_2^8,95,26,17,0.0075890251,0.0049246813,0.0026643438,3,6,0.11538462,0.35294118,-0.23755656,0.1317556645,-0.49579766,0.02068454,-1.803008,0.0008756567,0.0017381228,-0.0008624661,0.84615385,0.58823529,0.25791855,0.1387614543,-0.0140539,0.529891,1.858719,3.15384615,2.64705882,0.50678733,1.30769231,1.11764706,0.372351482129,0.298596084366,1.420733191228,1.385008484134
8,256,97,q_mod_2^8,97,7,34,0.0020431991,0.0098493627,-0.0078061636,3,8,0.42857143,0.23529412,0.19327731,0.2006925633,-0.20008011,0.58663474,0.963052,0.0008756567,0.0023174971,-0.0014418404,0.57142857,0.67647059,-0.10504202,0.2035250024,-0.50395102,0.29386699,-0.516114,2.14285714,2.35294118,-0.21008403,1.0,1.11764706,0.175706706363,0.179341640805,0.725758959758,0.824114039591
8,256,99,q_mod_2^8,99,20,25,0.0058377116,0.0072421784,-0.0014044668,2,12,0.1,0.48,-0.38,0.1203494911,-0.615885,-0.144115,-3.157471,0.0005837712,0.0034762457,-0.0028924745,0.9,0.4,0.5,0.1187434209,0.2672629,0.7327371,4.21076,2.2,1.76,0.44,1.2,1.56,0.060247016403,-0.367691011403,1.486101280772,1.640041008107
8,256,101,q_mod_2^8,101,23,22,0.0067133684,0.006373117,0.0003402513,14,11,0.60869565,0.5,0.10869565,0.1473754288,-0.18016019,0.39755149,0.737543,0.0040863981,0.0031865585,0.0008998396,0.26086957,0.27272727,-0.01185771,0.1319056844,-0.27039285,0.24667743,-0.089895,2.39130435,2.09090909,0.30039526,1.17391304,1.31818182,0.155896065663,-0.065903330148,1.261127136769,1.196640249182
8,256,103,q_mod_2^8,103,26,23,0.0075890251,0.0066628042,0.0009262209,21,11,0.80769231,0.47826087,0.32943144,0.1297037909,0.07521201,0.58365087,2.539875,0.0061295972,0.0031865585,0.0029430387,0.19230769,0.30434783,-0.11204013,0.123204232,-0.35352043,0.12944016,-0.909385,1.26923077,2.17391304,-0.90468227,1.80769231,1.43478261,-0.738365155821,-0.113069632742,1.539117256367,1.074005952922
8,256,105,q_mod_2^8,105,18,35,0.0052539405,0.0101390498,-0.0048851094,14,13,0.77777778,0.37142857,0.40634921,0.1275646845,0.15632242,0.65637599,3.185437,0.0040863981,0.0037659328,0.0003204653,0.11111111,0.6,-0.48888889,0.1111040562,-0.70665284,-0.27112494,-4.400279,1.44444444,2.85714286,-1.41269841,1.27777778,1.17142857,-0.300016155972,0.346499325939,0.97179825453,1.121634441995
8,256,107,q_mod_2^8,107,2,27,0.0005837712,0.0078215527,-0.0072377816,0,13,0.0,0.48148148,-0.48148148,0.0961590242,-0.66995317,-0.29300979,-5.007138,0.0,0.0037659328,-0.0037659328,1.0,0.37037037,0.62962963,0.0929348954,0.44747723,0.81178202,6.774954,4.0,1.92592593,2.07407407,1.0,1.37037037,0.928713309353,-0.168972594781,1.295613812999,1.096181793097
8,256,109,q_mod_2^8,109,28,29,0.0081727963,0.008400927,-0.0002281307,23,11,0.82142857,0.37931034,0.44211823,0.1155729928,0.21559516,0.66864129,3.825446,0.0067133684,0.0031865585,0.0035268098,0.14285714,0.4137931,-0.27093596,0.112860996,-0.49214351,-0.04972841,-2.400616,1.71428571,2.31034483,-0.59605911,1.07142857,1.44827586,-0.047574475085,-0.067104115182,1.235086537173,1.310673510828
8,256,111,q_mod_2^8,111,37,21,0.0107997665,0.0060834299,0.0047163366,22,8,0.59459459,0.38095238,0.21364221,0.1332096242,-0.04744865,0.47473308,1.603805,0.0064214828,0.0023174971,0.0041039857,0.40540541,0.52380952,-0.11840412,0.1356196232,-0.38421858,0.14741034,-0.87306,1.48648649,1.85714286,-0.37065637,1.62162162,1.28571429,-0.521303760549,-0.138182602805,1.499830249962,1.189346093156
8,256,113,q_mod_2^8,113,19,34,0.005545826,0.0098493627,-0.0043035367,12,14,0.63157895,0.41176471,0.21981424,0.1391784467,-0.05297551,0.492604,1.57937,0.003502627,0.0040556199,-0.000552993,0.0,0.38235294,-0.38235294,0.0833418138,-0.5457029,-0.21900299,-4.587768,1.36842105,2.26470588,-0.89628483,1.73684211,1.5,-0.64903990983,-0.121461555418,1.716222442209,1.349692126529
8,256,115,q_mod_2^8,115,28,26,0.0081727963,0.0075318656,0.0006409307,20,12,0.71428571,0.46153846,0.25274725,0.1297964506,-0.00165379,0.5071483,1.947259,0.0058377116,0.0034762457,0.002361466,0.21428571,0.42307692,-0.20879121,0.1241004475,-0.45202809,0.03444567,-1.682437,1.42857143,2.11538462,-0.68681319,2.64285714,1.38461538,-1.252653053353,-0.102027598239,2.691513899585,1.228423772822
8,256,117,q_mod_2^8,117,15,27,0.0043782837,0.0078215527,-0.003443269,8,10,0.53333333,0.37037037,0.16296296,0.158837928,-0.14835938,0.4742853,1.02597,0.0023350846,0.0028968714,-0.0005617867,0.33333333,0.44444444,-0.11111111,0.1547894125,-0.41449836,0.19227614,-0.717821,2.06666667,2.0,0.06666667,1.4,1.40740741,-0.13244470204,-0.164610260127,0.783692336296,1.528747351143
8,256,119,q_mod_2^8,119,15,36,0.0043782837,0.010428737,-0.0060504533,2,16,0.13333333,0.44444444,-0.31111111,0.1206748286,-0.54763378,-0.07458845,-2.578094,0.0005837712,0.0046349942,-0.004051223,0.6,0.41666667,0.18333333,0.1508361469,-0.11230551,0.47897218,1.215447,3.33333333,2.30555556,1.02777778,1.8,1.44444444,0.103885787722,-0.066390261559,0.849845905051,1.457058443534
8,256,121,q_mod_2^8,121,16,26,0.0046701693,0.0075318656,-0.0028616963,9,6,0.5625,0.23076923,0.33173077,0.1490246671,0.03964242,0.62381912,2.226012,0.0026269702,0.0017381228,0.0008888474,0.375,0.61538462,-0.24038462,0.1541160609,-0.54245209,0.06168286,-1.559764,2.0625,3.34615385,-1.28365385,1.125,1.61538462,0.056481254422,0.237049339304,3.191672107756,1.332014951836
8,256,123,q_mod_2^8,123,18,20,0.0052539405,0.0057937428,-0.0005398023,0,3,0.0,0.15,-0.15,0.0798435971,-0.30649345,0.00649345,-1.878673,0.0,0.0008690614,-0.0008690614,1.0,0.55,0.45,0.1112429773,0.23196376,0.66803624,4.045199,2.33333333,2.75,-0.41666667,1.0,1.75,0.252939181401,-0.097978518682,0.554409612905,1.208371293622
8,256,125,q_mod_2^8,125,53,23,0.0154699358,0.0066628042,0.0088071316,20,12,0.37735849,0.52173913,-0.14438064,0.1236212265,-0.38667824,0.09791696,-1.167928,0.0058377116,0.0034762457,0.002361466,0.50943396,0.2173913,0.29204266,0.1100561652,0.07633257,0.50775274,2.653578,2.83018868,2.17391304,0.65627564,1.35849057,1.43478261,0.205908986702,-0.113069632742,1.502782592772,1.130427758339
8,256,127,q_mod_2^8,127,54,33,0.0157618214,0.0095596756,0.0062021458,24,10,0.44444444,0.3030303,0.14141414,0.1047500012,-0.06389586,0.34672414,1.350016,0.0070052539,0.0028968714,0.0041083826,0.55555556,0.45454545,0.1010101,0.1099346247,-0.11446176,0.31648197,0.91882,2.12962963,2.75757576,-0.62794613,1.5,1.72727273,-0.176230090372,-0.079153468305,1.730767235649,1.435222162644
8,256,129,q_mod_2^8,129,22,21,0.0064214828,0.0060834299,0.0003380529,4,8,0.18181818,0.38095238,-0.1991342,0.1341332248,-0.46203532,0.06376692,-1.4846,0.0011675423,0.0023174971,-0.0011499548,0.77272727,0.52380952,0.24891775,0.1409272392,-0.02729964,0.52513514,1.766286,3.40909091,2.04761905,1.36147186,1.09090909,1.38095238,0.626106995599,-0.126965170837,0.730767487122,1.245333818117
8,256,131,q_mod_2^8,131,14,26,0.0040863981,0.0075318656,-0.0034454675,7,12,0.5,0.46153846,0.03846154,0.1655766641,-0.28606872,0.3629918,0.232288,0.0020431991,0.0034762457,-0.0014330466,0.42857143,0.38461538,0.04395604,0.1630829056,-0.27568645,0.36359854,0.269532,2.0,1.80769231,0.19230769,2.14285714,1.30769231,-0.67438457772,-0.173467079152,1.735554595039,1.311449142421
8,256,133,q_mod_2^8,133,21,35,0.0061295972,0.0101390498,-0.0040094526,11,18,0.52380952,0.51428571,0.00952381,0.1378941377,-0.2607487,0.27979632,0.069066,0.0032107414,0.0052143685,-0.0020036271,0.42857143,0.45714286,-0.02857143,0.1369386234,-0.29697113,0.23982827,-0.208644,2.38095238,2.0,0.38095238,1.42857143,1.2,-0.024817050134,-0.020846400456,1.512318542437,0.941073561272
8,256,135,q_mod_2^8,135,28,26,0.0081727963,0.0075318656,0.0006409307,5,11,0.17857143,0.42307692,-0.24450549,0.120940085,-0.48154806,-0.00746293,-2.021708,0.0014594279,0.0031865585,-0.0017271306,0.71428571,0.46153846,0.25274725,0.1297964506,-0.00165379,0.5071483,1.947259,2.14285714,2.61538462,-0.47252747,1.28571429,1.23076923,-0.022335289603,0.207342983594,1.147231638611,1.050706832155
8,256,137,q_mod_2^8,137,31,17,0.009048453,0.0049246813,0.0041237717,30,8,0.96774194,0.47058824,0.4971537,0.1251479624,0.25186369,0.74244371,3.972527,0.0087565674,0.0023174971,0.0064390703,0.03225806,0.29411765,-0.26185958,0.114976141,-0.48721282,-0.03650635,-2.277512,1.06451613,2.23529412,-1.17077799,1.0,1.47058824,-0.261523005873,-0.113000317993,1.598695828577,0.939444300758
8,256,139,q_mod_2^8,139,10,23,0.0029188558,0.0066628042,-0.0037439484,2,9,0.2,0.39130435,-0.19130435,0.1623449434,-0.50950044,0.12689174,-1.178382,0.0005837712,0.0026071842,-0.0020234131,0.3,0.43478261,-0.13478261,0.1780017943,-0.48366613,0.21410091,-0.757198,2.3,2.04347826,0.25652174,2.8,1.69565217,-1.008242226089,-0.346777389598,1.354296887103,1.455225980735
8,256,141,q_mod_2^8,141,41,25,0.0119673088,0.0072421784,0.0047251304,27,12,0.65853659,0.48,0.17853659,0.1243725865,-0.06523368,0.42230685,1.435498,0.0078809107,0.0034762457,0.004404665,0.04878049,0.44,-0.39121951,0.1048223761,-0.59667137,-0.18576766,-3.732214,1.3902439,1.96,-0.5697561,1.29268293,1.32,-0.332324004151,-0.120242666447,1.267319717339,1.169825897561
8,256,143,q_mod_2^8,143,8,29,0.0023350846,0.008400927,-0.0060658424,3,13,0.375,0.44827586,-0.07327586,0.1944873002,-0.45447097,0.30791925,-0.376764,0.0008756567,0.0037659328,-0.0028902761,0.375,0.4137931,-0.0387931,0.1940651993,-0.41916089,0.34157469,-0.199897,2.125,1.72413793,0.40086207,1.625,1.20689655,-0.264750334347,-0.137479169455,0.772368523068,1.088226445505
8,256,145,q_mod_2^8,145,36,38,0.0105078809,0.0110081112,-0.0005002303,28,19,0.77777778,0.5,0.27777778,0.1066772926,0.06869028,0.48686527,2.603907,0.0081727963,0.0055040556,0.0026687406,0.22222222,0.42105263,-0.19883041,0.1059057443,-0.40640567,0.00874485,-1.877428,1.63888889,2.26315789,-0.62426901,1.05555556,1.28947368,-0.067143044167,0.023836511839,1.150238904635,1.324030833047
8,256,147,q_mod_2^8,147,23,30,0.0067133684,0.0086906141,-0.0019772458,7,15,0.30434783,0.5,-0.19565217,0.1324332307,-0.45522131,0.06391696,-1.477365,0.0020431991,0.0043453071,-0.002302108,0.65217391,0.4,0.25217391,0.1336515749,-0.00978317,0.514131,1.886801,3.26086957,1.8,1.46086957,1.95652174,1.26666667,-0.0339885838,-0.148149234115,1.326158332961,1.447376235236
8,256,149,q_mod_2^8,149,37,29,0.0107997665,0.008400927,0.0023988395,15,9,0.40540541,0.31034483,0.09506058,0.1178782915,-0.13598087,0.32610203,0.80643,0.0043782837,0.0026071842,0.0017710995,0.48648649,0.4137931,0.07269338,0.1229481509,-0.16828499,0.31367176,0.591252,2.62162162,2.34482759,0.27679404,1.10810811,1.4137931,0.294894284688,-0.029220932814,0.899023372026,1.009872432385
8,256,151,q_mod_2^8,151,27,30,0.0078809107,0.0086906141,-0.0008097035,13,12,0.48148148,0.4,0.08148148,0.131326151,-0.17591777,0.33888074,0.620451,0.0037945126,0.0034762457,0.0003182669,0.51851852,0.43333333,0.08518519,0.1320293268,-0.1735923,0.34396267,0.645199,1.96296296,2.46666667,-0.5037037,1.48148148,1.4,-0.230971509601,0.029741213883,1.273880405676,1.311144513512
