max_power,limit_exclusive,k,total_positive_n,certified_residue_count,residue_modulus,certified_residue_fraction,lowbit_certified_n,lowbit_certified_fraction,false_positives,mod3_preimage_n,mod3_preimage_fraction,naive_descends_within_steps,naive_steps,residue_evaluations,residue_orbit_steps,coverage_count_terms
19,524288,8,524287,212,256,0.828125000000,434175,0.828124672174,0,174762,0.333332697549,524286,256,256,2048,212
19,524288,10,524287,846,1024,0.826171875000,433151,0.826171543449,0,174762,0.333332697549,524286,256,1024,10240,846
19,524288,12,524287,3300,4096,0.805664062500,422399,0.805663691833,0,174762,0.333332697549,524286,256,4096,49152,3300
19,524288,14,524287,12909,16384,0.787902832031,413087,0.787902427487,0,174762,0.333332697549,524286,256,16384,229376,12909
19,524288,16,524287,58649,65536,0.894912719727,469191,0.894912519288,0,174762,0.333332697549,524286,256,65536,1048576,58649
19,524288,18,524287,230962,262144,0.881050109863,461923,0.881049882984,0,174762,0.333332697549,524286,256,262144,4718592,230962
19,524288,20,524287,910594,1048576,0.868410110474,455360,0.868531930031,0,174762,0.333332697549,524286,256,1048576,20971520,910594
20,1048576,8,1048575,212,256,0.828125000000,868351,0.828124836087,0,349525,0.333333333333,1048574,256,256,2048,212
20,1048576,10,1048575,846,1024,0.826171875000,866303,0.826171709224,0,349525,0.333333333333,1048574,256,1024,10240,846
20,1048576,12,1048575,3300,4096,0.805664062500,844799,0.805663877167,0,349525,0.333333333333,1048574,256,4096,49152,3300
20,1048576,14,1048575,12909,16384,0.787902832031,826175,0.787902629759,0,349525,0.333333333333,1048574,256,16384,229376,12909
20,1048576,16,1048575,58649,65536,0.894912719727,938383,0.894912619507,0,349525,0.333333333333,1048574,256,65536,1048576,58649
20,1048576,18,1048575,230962,262144,0.881050109863,923847,0.881049996424,0,349525,0.333333333333,1048574,256,262144,4718592,230962
20,1048576,20,1048575,910594,1048576,0.868410110474,910593,0.868409984980,0,349525,0.333333333333,1048574,256,1048576,20971520,910594
