source,prev_exit_v2,next_tail,count,fraction,geometric_fraction,diff_vs_geometric
local_all_starts,4,6,2444,0.0156412,0.015625,1.62e-05
local_all_starts,4,7,1221,0.0078142,0.0078125,1.7e-06
local_all_starts,4,8,607,0.0038847,0.00390625,-2.155e-05
local_all_starts,4,9,307,0.00196475,0.00195312,1.162e-05
local_all_starts,4,10,153,0.00097917,0.00097656,2.61e-06
local_all_starts,4,11,76,0.00048639,0.00048828,-1.89e-06
local_all_starts,4,12,36,0.00023039,0.00024414,-1.375e-05
local_all_starts,4,13,19,0.0001216,0.00012207,-4.7e-07
local_all_starts,4,14,9,5.76e-05,6.104e-05,-3.44e-06
local_all_starts,4,15,5,3.2e-05,3.052e-05,1.48e-06
local_all_starts,4,16,1,6.4e-06,1.526e-05,-8.86e-06
local_all_starts,4,17,2,1.28e-05,7.63e-06,5.17e-06
local_all_starts,4,19,4,2.56e-05,1.91e-06,2.369e-05
chain_before_descent,5,1,2932,0.54447539,0.5,0.04447539
chain_before_descent,5,2,1169,0.21708449,0.25,-0.03291551
chain_before_descent,5,3,645,0.11977716,0.125,-0.00522284
chain_before_descent,5,4,325,0.06035283,0.0625,-0.00214717
chain_before_descent,5,5,176,0.03268338,0.03125,0.00143338
chain_before_descent,5,6,67,0.01244197,0.015625,-0.00318303
chain_before_descent,5,7,30,0.00557103,0.0078125,-0.00224147
chain_before_descent,5,8,20,0.00371402,0.00390625,-0.00019223
chain_before_descent,5,9,8,0.00148561,0.00195312,-0.00046752
chain_before_descent,5,10,10,0.00185701,0.00097656,0.00088045
chain_before_descent,5,11,3,0.0005571,0.00048828,6.882e-05
local_all_starts,5,1,39062,0.5,0.5,0.0
local_all_starts,5,2,19534,0.2500384,0.25,3.84e-05
local_all_starts,5,3,9763,0.124968,0.125,-3.2e-05
local_all_starts,5,4,4882,0.0624904,0.0625,-9.6e-06
local_all_starts,5,5,2439,0.0312196,0.03125,-3.04e-05
local_all_starts,5,6,1220,0.0156162,0.015625,-8.8e-06
local_all_starts,5,7,615,0.0078721,0.0078125,5.96e-05
local_all_starts,5,8,304,0.00389125,0.00390625,-1.5e-05
local_all_starts,5,9,152,0.00194562,0.00195312,-7.5e-06
local_all_starts,5,10,77,0.00098561,0.00097656,9.05e-06
local_all_starts,5,11,36,0.00046081,0.00048828,-2.748e-05
local_all_starts,5,12,19,0.0002432,0.00024414,-9.4e-07
local_all_starts,5,13,9,0.0001152,0.00012207,-6.87e-06
local_all_starts,5,14,4,5.12e-05,6.104e-05,-9.83e-06
local_all_starts,5,15,6,7.68e-05,3.052e-05,4.628e-05
local_all_starts,5,16,1,1.28e-05,1.526e-05,-2.46e-06
local_all_starts,5,17,1,1.28e-05,7.63e-06,5.17e-06
chain_before_descent,6,1,630,0.4921875,0.5,-0.0078125
chain_before_descent,6,2,313,0.24453125,0.25,-0.00546875
chain_before_descent,6,3,202,0.1578125,0.125,0.0328125
chain_before_descent,6,4,78,0.0609375,0.0625,-0.0015625
chain_before_descent,6,5,29,0.02265625,0.03125,-0.00859375
chain_before_descent,6,6,12,0.009375,0.015625,-0.00625
chain_before_descent,6,7,7,0.00546875,0.0078125,-0.00234375
chain_before_descent,6,8,4,0.003125,0.00390625,-0.00078125
chain_before_descent,6,9,5,0.00390625,0.00195312,0.00195312
local_all_starts,6,1,19531,0.4999872,0.5,-1.28e-05
local_all_starts,6,2,9765,0.2499808,0.25,-1.92e-05
local_all_starts,6,3,4884,0.1250288,0.125,2.88e-05
local_all_starts,6,4,2442,0.0625144,0.0625,1.44e-05
local_all_starts,6,5,1219,0.031206,0.03125,-4.4e-05
local_all_starts,6,6,613,0.0156926,0.015625,6.76e-05
local_all_starts,6,7,304,0.0077823,0.0078125,-3.02e-05
local_all_starts,6,8,152,0.00389115,0.00390625,-1.51e-05
local_all_starts,6,9,74,0.00189438,0.00195312,-5.875e-05
local_all_starts,6,10,41,0.00104959,0.00097656,7.302e-05
local_all_starts,6,11,20,0.00051199,0.00048828,2.371e-05
local_all_starts,6,12,11,0.0002816,0.00024414,3.746e-05
local_all_starts,6,13,3,7.68e-05,0.00012207,-4.527e-05
local_all_starts,6,14,3,7.68e-05,6.104e-05,1.576e-05
local_all_starts,6,15,1,2.56e-05,3.052e-05,-4.92e-06
chain_before_descent,7,1,189,0.56927711,0.5,0.06927711
chain_before_descent,7,2,88,0.26506024,0.25,0.01506024
chain_before_descent,7,3,26,0.07831325,0.125,-0.04668675
chain_before_descent,7,4,24,0.07228916,0.0625,0.00978916
chain_before_descent,7,5,4,0.01204819,0.03125,-0.01920181
chain_before_descent,7,7,1,0.00301205,0.0078125,-0.00480045
local_all_starts,7,1,9763,0.49992319,0.5,-7.681e-05
local_all_starts,7,2,4881,0.24993599,0.25,-6.401e-05
local_all_starts,7,3,2439,0.12489119,0.125,-0.00010881
local_all_starts,7,4,1222,0.06257361,0.0625,7.361e-05
local_all_starts,7,5,613,0.03138922,0.03125,0.00013922
local_all_starts,7,6,305,0.0156178,0.015625,-7.2e-06
local_all_starts,7,7,155,0.00793691,0.0078125,0.00012441
local_all_starts,7,8,77,0.00394285,0.00390625,3.66e-05
local_all_starts,7,9,36,0.00184341,0.00195312,-0.00010971
local_all_starts,7,10,20,0.00102412,0.00097656,4.756e-05
local_all_starts,7,11,10,0.00051206,0.00048828,2.378e-05
local_all_starts,7,12,4,0.00020482,0.00024414,-3.932e-05
local_all_starts,7,13,3,0.00015362,0.00012207,3.155e-05
local_all_starts,7,15,1,5.121e-05,3.052e-05,2.069e-05
chain_before_descent,8,1,42,0.49411765,0.5,-0.00588235
chain_before_descent,8,2,31,0.36470588,0.25,0.11470588
chain_before_descent,8,3,7,0.08235294,0.125,-0.04264706
chain_before_descent,8,4,1,0.01176471,0.0625,-0.05073529
chain_before_descent,8,8,4,0.04705882,0.00390625,0.04315257
local_all_starts,8,1,4879,0.49964158,0.5,-0.00035842
local_all_starts,8,2,2446,0.25048643,0.25,0.00048643
local_all_starts,8,3,1220,0.124936,0.125,-6.4e-05
local_all_starts,8,4,609,0.06236559,0.0625,-0.00013441
local_all_starts,8,5,306,0.03133641,0.03125,8.641e-05
local_all_starts,8,6,151,0.01546339,0.015625,-0.00016161
local_all_starts,8,7,80,0.00819252,0.0078125,0.00038002
local_all_starts,8,8,37,0.00378904,0.00390625,-0.00011721
local_all_starts,8,9,18,0.00184332,0.00195312,-0.00010981
local_all_starts,8,10,10,0.00102407,0.00097656,4.75e-05
local_all_starts,8,11,4,0.00040963,0.00048828,-7.866e-05
local_all_starts,8,12,4,0.00040963,0.00024414,0.00016549
local_all_starts,8,13,1,0.00010241,0.00012207,-1.966e-05
