source,prev_exit_v2,next_exit_v2,count,fraction,geometric_fraction,diff_vs_geometric
local_all_starts,4,1,78129,0.5000128,0.5,1.28e-05
local_all_starts,4,2,39052,0.2499264,0.25,-7.36e-05
local_all_starts,4,3,19536,0.1250272,0.125,2.72e-05
local_all_starts,4,4,9771,0.0625328,0.0625,3.28e-05
local_all_starts,4,5,4881,0.0312376,0.03125,-1.24e-05
local_all_starts,4,6,2445,0.0156476,0.015625,2.26e-05
local_all_starts,4,7,1212,0.0077566,0.0078125,-5.59e-05
local_all_starts,4,8,616,0.0039423,0.00390625,3.605e-05
local_all_starts,4,9,306,0.00195835,0.00195312,5.22e-06
local_all_starts,4,10,150,0.00095998,0.00097656,-1.659e-05
local_all_starts,4,11,84,0.00053759,0.00048828,4.93e-05
local_all_starts,4,12,36,0.00023039,0.00024414,-1.375e-05
local_all_starts,4,13,20,0.000128,0.00012207,5.93e-06
local_all_starts,4,14,7,4.48e-05,6.104e-05,-1.624e-05
local_all_starts,4,15,4,2.56e-05,3.052e-05,-4.92e-06
local_all_starts,4,16,5,3.2e-05,1.526e-05,1.674e-05
chain_before_descent,5,1,2734,0.50770659,0.5,0.00770659
chain_before_descent,5,2,1306,0.24252553,0.25,-0.00747447
chain_before_descent,5,3,764,0.14187558,0.125,0.01687558
chain_before_descent,5,4,297,0.0551532,0.0625,-0.0073468
chain_before_descent,5,5,142,0.02636955,0.03125,-0.00488045
chain_before_descent,5,6,45,0.00835655,0.015625,-0.00726845
chain_before_descent,5,7,43,0.00798514,0.0078125,0.00017264
chain_before_descent,5,8,31,0.00575673,0.00390625,0.00185048
chain_before_descent,5,9,8,0.00148561,0.00195312,-0.00046752
chain_before_descent,5,10,8,0.00148561,0.00097656,0.00050905
chain_before_descent,5,11,3,0.0005571,0.00048828,6.882e-05
chain_before_descent,5,12,4,0.0007428,0.00024414,0.00049866
local_all_starts,5,1,39062,0.5,0.5,0.0
local_all_starts,5,2,19540,0.2501152,0.25,0.0001152
local_all_starts,5,3,9760,0.1249296,0.125,-7.04e-05
local_all_starts,5,4,4883,0.0625032,0.0625,3.2e-06
local_all_starts,5,5,2435,0.0311684,0.03125,-8.16e-05
local_all_starts,5,6,1222,0.0156418,0.015625,1.68e-05
local_all_starts,5,7,614,0.0078593,0.0078125,4.68e-05
local_all_starts,5,8,309,0.00395525,0.00390625,4.9e-05
local_all_starts,5,9,154,0.00197123,0.00195312,1.81e-05
local_all_starts,5,10,69,0.00088321,0.00097656,-9.335e-05
local_all_starts,5,11,41,0.00052481,0.00048828,3.653e-05
local_all_starts,5,12,18,0.0002304,0.00024414,-1.374e-05
local_all_starts,5,13,7,8.96e-05,0.00012207,-3.247e-05
local_all_starts,5,14,3,3.84e-05,6.104e-05,-2.263e-05
local_all_starts,5,15,7,8.96e-05,3.052e-05,5.908e-05
chain_before_descent,6,1,609,0.47578125,0.5,-0.02421875
chain_before_descent,6,2,370,0.2890625,0.25,0.0390625
chain_before_descent,6,3,134,0.1046875,0.125,-0.0203125
chain_before_descent,6,4,102,0.0796875,0.0625,0.0171875
chain_before_descent,6,5,38,0.0296875,0.03125,-0.0015625
chain_before_descent,6,6,8,0.00625,0.015625,-0.009375
chain_before_descent,6,7,12,0.009375,0.0078125,0.0015625
chain_before_descent,6,8,3,0.00234375,0.00390625,-0.0015625
chain_before_descent,6,9,1,0.00078125,0.00195312,-0.00117187
chain_before_descent,6,10,3,0.00234375,0.00097656,0.00136719
local_all_starts,6,1,19524,0.499808,0.5,-0.000192
local_all_starts,6,2,9756,0.2497504,0.25,-0.0002496
local_all_starts,6,3,4891,0.125208,0.125,0.000208
local_all_starts,6,4,2444,0.0625656,0.0625,6.56e-05
local_all_starts,6,5,1224,0.031334,0.03125,8.4e-05
local_all_starts,6,6,609,0.0155902,0.015625,-3.48e-05
local_all_starts,6,7,298,0.0076287,0.0078125,-0.0001838
local_all_starts,6,8,156,0.00399355,0.00390625,8.73e-05
local_all_starts,6,9,82,0.00209917,0.00195312,0.00014605
local_all_starts,6,10,41,0.00104959,0.00097656,7.302e-05
