n,block,current_odd,tail,odd_factor,exit_v2,next_odd,next_tail,steps_to_next_odd,compressed_steps,local_odd_ratio,cumulative_odd_ratio,local_peak_ratio,cumulative_peak_ratio,local_log_ratio,cumulative_log_ratio,status_after
626331,13,507816787,2,126954197,2,285646943,5,6,123,0.562500000615,456.063875171435,4.500000004923,3648.511001371479,-0.57536414381,6.122632876835,continue
626331,14,285646943,5,8926467,3,271141435,2,13,136,0.949218752885,432.904382826333,15.187500046167,6926.470125221329,-0.052115998099,6.070516878736,continue
626331,15,271141435,2,67785359,1,305034115,2,5,141,1.125000002305,487.0174316775,4.50000000922,1948.069726709998,0.117783037705,6.188299916441,continue
626331,16,305034115,2,76258529,3,85790845,1,7,148,0.281250000512,136.973652908766,4.500000008196,2191.578446540248,-1.268511323642,4.919788592799,continue
626331,17,85790845,1,42895423,2,32171567,4,4,152,0.375000001457,51.365120040362,3.000000011656,410.920960322896,-0.980829249126,3.938959343672,continue
626331,18,32171567,4,2010723,1,81434281,1,9,161,2.531250063138,130.01796334526,10.125000252552,520.07185338104,0.928713276816,4.867672620489,continue
626331,19,81434281,1,40717141,1,61075711,8,3,164,0.75000000307,97.513472908095,3.00000001228,390.05389163238,-0.287682068359,4.57999055213,continue
626331,20,61075711,8,238577,4,97831481,1,20,184,1.601806665828,156.197730912249,51.257813306504,4998.327389191977,0.47113215836,5.05112271049,continue
626331,21,97831481,1,48915741,1,73373611,2,3,187,0.750000002555,117.148298583337,3.000000010222,468.593194333348,-0.287682069045,4.763440641445,continue
626331,22,73373611,2,18343403,1,82545313,1,5,192,1.125000008518,131.791836904129,4.500000034072,527.167347616516,0.117783043228,4.881223684673,continue
626331,23,82545313,1,41272657,1,61908985,1,3,195,0.750000003029,98.843878077247,3.000000012115,395.375512308987,-0.287682068414,4.59354161626,continue
626331,24,61908985,1,30954493,1,46431739,2,3,198,0.750000004038,74.132908957085,3.000000016153,296.53163582834,-0.287682067068,4.305859549192,continue
626331,25,46431739,2,11607935,1,52235707,2,5,203,1.125000013461,83.399523574596,4.500000053842,333.598094298382,0.117783047621,4.423642596814,continue
626331,26,52235707,2,13058927,1,58765171,2,5,208,1.125000011965,93.824465019295,4.50000004786,375.29786007718,0.117783046292,4.541425643105,continue
626331,27,58765171,2,14691293,2,33055409,1,6,214,0.562500005318,52.776262072291,4.500000042542,422.210096578327,-0.57536413545,3.966061507656,continue
626331,28,33055409,1,16527705,1,24791557,1,3,217,0.750000007563,39.582196953368,3.000000030252,158.328787813472,-0.287682062368,3.678379445288,continue
626331,29,24791557,1,12395779,3,4648417,1,5,222,0.187500002521,7.421662028544,3.000000040336,118.746592456704,-1.673976420126,2.004403025162,continue
